Shares	Country	Count	Freq
0	Greece	3	0.001266357112705783
0	Germany_part1	129	0.0003065079478223679
0	OtherEthnicities	14	0.00195858981533296
0	Croatia	3	0.0018337408312958435
0	Poland	5	0.0008958967926894822
0	Austria	1	0.0008163265306122449
0	Switzerland	2	0.005376344086021506
0	Vietnam	1	0.0020833333333333333
0	Russia	3	0.0006516072980017377
0	Lebanon	1	0.002717391304347826
0	Afghanistan	1	0.002207505518763797
0	Turkey	15	0.0006746424395070612
0	SriLanka	2	0.0013183915622940012
0	Spain	2	0.002304147465437788
0	Czech	5	0.009578544061302681
0	Iran	1	0.0011273957158962795
0	Romania	1	0.0008438818565400844
0	GreatBritain	1	0.0015822784810126582
0	Italy	6	0.0016025641025641025
0	India	1	0.003003003003003003
0	Syria	2	0.004228329809725159
0	USA	1	0.0012658227848101266
0	Serbia	2	0.0028368794326241137
0	Kazakhstan	1	0.0007194244604316547
1	Greece	4	0.0016884761502743773
1	Germany_part1	17	4.0392520255660894e-05
1	SriLanka	2	0.0013183915622940012
1	Croatia	1	0.0006112469437652812
1	Poland	6	0.0010750761512273786
1	Austria	2	0.0016326530612244899
1	Portugal	2	0.0015936254980079682
1	Russia	5	0.0010860121633362294
1	Netherlands	1	0.0011198208286674132
1	Turkey	6	0.0002698569758028245
1	OtherEthnicities	10	0.0013989927252378287
1	Morocco	2	0.00546448087431694
1	Iran	2	0.002254791431792559
1	France	2	0.0027100271002710027
1	India	1	0.003003003003003003
1	Romania	1	0.0008438818565400844
1	Italy	3	0.0008012820512820513
1	Spain	5	0.00576036866359447
1	Syria	2	0.004228329809725159
1	USA	3	0.0037974683544303796
1	Bosnia-Herzegovina	1	0.0012360939431396785
1	Kazakhstan	1	0.0007194244604316547
1	Brazil	1	0.003246753246753247
2	Greece	2	0.0008442380751371887
2	Germany_part1	3	7.12809180982251e-06
2	SriLanka	1	0.0006591957811470006
2	Poland	1	0.00017917935853789643
2	Austria	3	0.0024489795918367346
2	Switzerland	1	0.002688172043010753
2	Vietnam	1	0.0020833333333333333
2	Russia	2	0.0004344048653344917
2	Portugal	2	0.0015936254980079682
2	Lebanon	1	0.002717391304347826
2	Turkey	5	0.00022488081316902043
2	OtherEthnicities	3	0.00041969781757134864
2	Morocco	1	0.00273224043715847
2	Czech	1	0.0019157088122605363
2	Iran	1	0.0011273957158962795
2	Italy	1	0.0002670940170940171
2	Syria	1	0.0021141649048625794
2	Hungary	1	0.0013736263736263737
2	USA	1	0.0012658227848101266
2	Bosnia-Herzegovina	1	0.0012360939431396785
2	Kazakhstan	2	0.0014388489208633094
2	Brazil	1	0.003246753246753247
3	Greece	1	0.00042211903756859433
3	India	1	0.003003003003003003
3	Iran	2	0.002254791431792559
3	OtherEthnicities	2	0.0002797985450475658
3	Netherlands	1	0.0011198208286674132
3	Romania	2	0.0016877637130801688
3	Poland	2	0.00035835871707579287
3	Kosovo	1	0.001763668430335097
3	Syria	3	0.006342494714587738
3	Spain	2	0.002304147465437788
3	Russia	3	0.0006516072980017377
3	Portugal	1	0.0007968127490039841
3	Serbia	1	0.0014184397163120568
3	Lebanon	2	0.005434782608695652
3	Kazakhstan	1	0.0007194244604316547
3	Afghanistan	1	0.002207505518763797
3	Turkey	1	4.4976162633804086e-05
3	Brazil	1	0.003246753246753247
4	India	1	0.003003003003003003
4	Morocco	1	0.00273224043715847
4	Hungary	1	0.0013736263736263737
4	Spain	2	0.002304147465437788
4	Turkey	1	4.4976162633804086e-05
4	Greece	1	0.00042211903756859433
4	Serbia	1	0.0014184397163120568
4	Russia	1	0.00021720243266724586
4	France	1	0.0013550135501355014
5	Greece	1	0.00042211903756859433
5	Czech	1	0.0019157088122605363
5	Burundi	1	0.0029411764705882353
5	Switzerland	1	0.002688172043010753
5	Iran	1	0.0011273957158962795
5	Ukraine	1	0.0018115942028985507
5	GreatBritain	2	0.0031645569620253164
5	Syria	2	0.004228329809725159
5	Austria	2	0.0016326530612244899
5	Hungary	2	0.0027472527472527475
5	Portugal	1	0.0007968127490039841
5	USA	1	0.0012658227848101266
5	Netherlands	1	0.0011198208286674132
5	Afghanistan	1	0.002207505518763797
6	Greece	2	0.0008442380751371887
6	Czech	1	0.0019157088122605363
6	Burundi	3	0.008823529411764706
6	France	2	0.0027100271002710027
6	Poland	1	0.00017917935853789643
6	Croatia	4	0.0024449877750611247
6	Netherlands	1	0.0011198208286674132
6	Romania	2	0.0016877637130801688
6	GreatBritain	1	0.0015822784810126582
6	Russia	3	0.0006516072980017377
6	Spain	2	0.002304147465437788
6	Austria	2	0.0016326530612244899
6	Hungary	1	0.0013736263736263737
6	Italy	1	0.0002670940170940171
6	OtherEthnicities	1	0.0001398992725237829
6	USA	1	0.0012658227848101266
6	Bosnia-Herzegovina	1	0.0012360939431396785
6	Kazakhstan	1	0.0007194244604316547
6	Turkey	4	0.00017990465053521634
6	Brazil	1	0.003246753246753247
7	Kosovo	1	0.001763668430335097
7	Burundi	1	0.0029411764705882353
7	Spain	1	0.001152073732718894
7	Lebanon	1	0.002717391304347826
7	Romania	1	0.0008438818565400844
7	GreatBritain	1	0.0015822784810126582
7	Poland	1	0.00017917935853789643
7	India	1	0.003003003003003003
7	Syria	1	0.0021141649048625794
7	SriLanka	1	0.0006591957811470006
7	Hungary	1	0.0013736263736263737
7	Russia	1	0.00021720243266724586
7	Netherlands	1	0.0011198208286674132
7	Kazakhstan	1	0.0007194244604316547
7	Turkey	1	4.4976162633804086e-05
7	Brazil	1	0.003246753246753247
9	Spain	1	0.001152073732718894
9	Syria	1	0.0021141649048625794
9	Iran	1	0.0011273957158962795
9	Hungary	1	0.0013736263736263737
9	Serbia	1	0.0014184397163120568
9	Netherlands	1	0.0011198208286674132
9	GreatBritain	1	0.0015822784810126582
9	USA	1	0.0012658227848101266
9	Russia	1	0.00021720243266724586
9	Romania	1	0.0008438818565400844
11	Greece	1	0.00042211903756859433
11	Iran	1	0.0011273957158962795
11	Hungary	1	0.0013736263736263737
11	Romania	1	0.0008438818565400844
11	GreatBritain	1	0.0015822784810126582
11	Russia	1	0.00021720243266724586
11	Spain	1	0.001152073732718894
11	Syria	1	0.0021141649048625794
11	Switzerland	1	0.002688172043010753
11	Portugal	1	0.0007968127490039841
11	Brazil	1	0.003246753246753247
11	Serbia	1	0.0014184397163120568
